epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4198.09,0.15827,0.9514,0.90643,0.95172,0.95399,0.97819,0.97819,0.16102,0.32383,0.23364,0.000540037,0.000540037,0.000540037
43,4298.13,0.15547,0.93927,0.90799,0.95772,0.9543,0.97782,0.97774,0.17679,0.33305,0.24278,0.000531038,0.000531038,0.000531038
44,4398.24,0.1593,0.93689,0.91419,0.94579,0.95975,0.97869,0.97869,0.17161,0.38735,0.25035,0.000522039,0.000522039,0.000522039
45,4497.95,0.15529,0.94376,0.90552,0.94169,0.94338,0.97649,0.97624,0.21581,0.37657,0.29003,0.00051304,0.00051304,0.00051304
46,4598.86,0.14755,0.90845,0.90433,0.94364,0.92304,0.97043,0.97043,0.16329,0.38511,0.23838,0.00050404,0.00050404,0.00050404
47,4699.41,0.14813,0.90236,0.9072,0.93051,0.95739,0.97325,0.97319,0.15299,0.32178,0.21993,0.000495041,0.000495041,0.000495041
48,4795.2,0.14736,0.90541,0.90787,0.94889,0.96207,0.97864,0.97833,0.16863,0.29673,0.24138,0.000486042,0.000486042,0.000486042
49,4895.75,0.14577,0.90156,0.90273,0.95502,0.96136,0.97984,0.97984,0.14824,0.33345,0.23244,0.000477043,0.000477043,0.000477043
50,5000.05,0.14255,0.88873,0.90419,0.92078,0.95041,0.97468,0.97419,0.15985,0.34683,0.24157,0.000468044,0.000468044,0.000468044
51,5095.17,0.14643,0.88967,0.90537,0.96032,0.91061,0.97135,0.97135,0.14799,0.33981,0.21859,0.000459045,0.000459045,0.000459045
52,5194.41,0.14241,0.88482,0.9052,0.95436,0.92412,0.97162,0.97127,0.14245,0.32571,0.21358,0.000450046,0.000450046,0.000450046
53,5294.61,0.14415,0.8841,0.89863,0.95212,0.94655,0.97521,0.97521,0.17311,0.32207,0.24648,0.000441047,0.000441047,0.000441047
54,5395.2,0.14141,0.92022,0.8924,0.96897,0.94068,0.97658,0.97658,0.15857,0.32961,0.23566,0.000432048,0.000432048,0.000432048
